window_start,window_end,fm_estimate,actual_distinct,relative_error,suspicious
0,100,56.883556773668076,12,3.740296397805673,True
50,150,18.357875140592878,5,2.6715750281185757,True
100,200,4.266266758025106,1,3.2662667580251057,True
150,250,4.266266758025106,1,3.2662667580251057,True
200,300,4.266266758025106,1,3.2662667580251057,True
250,350,4.266266758025106,1,3.2662667580251057,True
300,400,13.3159235174723,4,2.328980879368075,True
350,450,24.56335406135667,9,1.7292615623729632,True
400,500,21.20205297927628,7,2.028864711325183,True
450,550,82.22259570012021,10,7.222259570012021,True
500,600,81.96403407842172,9,8.107114897602413,True
550,650,53.78081731328617,9,4.9756463681429075,True
600,700,64.12328218122582,13,3.9325601677866016,True
650,750,34.38869568589934,10,2.438869568589934,True
700,800,37.74999676797973,9,3.194444085331081,True
750,850,306.65408333441064,10,29.665408333441064,True
800,900,306.65408333441064,10,29.665408333441064,True
850,950,313.8938087419684,13,23.145677595536032,True
900,1000,302.7756590089333,9,32.64173988988148,True
950,1050,22.624141898617985,6,2.770690316436331,True
1000,1100,23.011984331165724,6,2.835330721860954,True
1050,1150,23.011984331165724,6,2.835330721860954,True
1100,1200,18.357875140592878,7,1.6225535915132683,True
1150,1250,14.220889193417019,6,1.3701481989028366,True
1200,1300,3.7491435146281233,3,0.2497145048760411,True
1250,1350,3.3613010820803866,2,0.6806505410401933,True
1300,1400,3.3613010820803866,2,0.6806505410401933,True
1350,1450,3.3613010820803866,2,0.6806505410401933,True
1400,1500,3.3613010820803866,2,0.6806505410401933,True
1450,1550,31.54451784721594,9,2.504946427468438,True
1500,1600,38.78424325477369,12,2.232020271231141,True
1550,1650,23.141265142014966,7,2.3058950202878523,True
1600,1700,13.445204328321546,6,1.240867388053591,True
1650,1750,13.445204328321546,6,1.240867388053591,True
1700,1800,12.928081084924562,4,2.2320202712311406,True
1750,1850,12.281677030678335,3,3.0938923435594448,True
1800,1900,11.376711354733615,2,4.688355677366808,True
1850,1950,12.281677030678335,3,3.0938923435594448,True
1900,2000,12.281677030678335,3,3.0938923435594448,True
1950,2050,12.281677030678335,3,3.0938923435594448,True
2000,2100,12.281677030678335,3,3.0938923435594448,True
2050,2150,12.281677030678335,3,3.0938923435594448,True
2100,2200,12.281677030678335,3,3.0938923435594448,True
2150,2250,12.540238652376825,3,3.180079550792275,True
2200,2300,12.540238652376825,3,3.180079550792275,True
2250,2350,12.281677030678335,3,3.0938923435594448,True
2300,2400,13.3159235174723,4,2.328980879368075,True
2350,2450,12.540238652376825,3,3.180079550792275,True
2400,2500,11.376711354733615,2,4.688355677366808,True
2450,2550,11.376711354733615,2,4.688355677366808,True
2500,2600,11.376711354733615,2,4.688355677366808,True
2550,2650,11.376711354733615,2,4.688355677366808,True
2600,2700,11.376711354733615,2,4.688355677366808,True
2650,2750,12.281677030678335,3,3.0938923435594448,True
2700,2800,12.281677030678335,3,3.0938923435594448,True
2750,2850,12.281677030678335,3,3.0938923435594448,True
2800,2900,12.281677030678335,3,3.0938923435594448,True
2850,2950,11.376711354733615,2,4.688355677366808,True
2900,3000,11.376711354733615,2,4.688355677366808,True
2950,3050,11.376711354733615,2,4.688355677366808,True
3000,3100,11.376711354733615,2,4.688355677366808,True
3050,3150,11.376711354733615,2,4.688355677366808,True
3100,3200,11.376711354733615,2,4.688355677366808,True
3150,3250,12.281677030678335,3,3.0938923435594448,True
3200,3300,12.281677030678335,3,3.0938923435594448,True
3250,3350,12.281677030678335,3,3.0938923435594448,True
3300,3400,12.281677030678335,3,3.0938923435594448,True
3350,3450,11.376711354733615,2,4.688355677366808,True
3400,3500,11.376711354733615,2,4.688355677366808,True
3450,3550,11.376711354733615,2,4.688355677366808,True
3500,3600,11.376711354733615,2,4.688355677366808,True
3550,3650,13.962327571718529,7,0.9946182245312184,True
3600,3700,13.962327571718529,7,0.9946182245312184,True
3650,3750,12.798800274075317,3,3.2662667580251057,True
3700,3800,21.460614600974772,5,3.2921229201949544,True
3750,3850,21.072772168427036,4,4.268193042106759,True
3800,3900,11.376711354733615,2,4.688355677366808,True
3850,3950,11.376711354733615,2,4.688355677366808,True
3900,4000,11.376711354733615,2,4.688355677366808,True
3950,4050,11.376711354733615,2,4.688355677366808,True
4000,4100,11.376711354733615,2,4.688355677366808,True
4050,4150,11.376711354733615,2,4.688355677366808,True
4100,4200,11.376711354733615,2,4.688355677366808,True
4150,4250,11.376711354733615,2,4.688355677366808,True
4200,4300,13.3159235174723,6,1.2193205862453833,True
4250,4350,13.3159235174723,6,1.2193205862453833,True
4300,4400,12.023115408979844,3,3.007705136326615,True
4350,4450,293.59672143863685,7,40.94238877694812,True
4400,4500,293.59672143863685,7,40.94238877694812,True
4450,4550,13.05736189577381,5,1.6114723791547618,True
4500,4600,12.540238652376825,3,3.180079550792275,True
4550,4650,31.285956225517445,9,2.4762173583908273,True
4600,4700,31.285956225517445,9,2.4762173583908273,True
4650,4750,21.719176222673266,6,2.6198627037788778,True
4700,4800,21.719176222673266,6,2.6198627037788778,True
4750,4850,33.095887577406884,9,2.6773208419340984,True
4800,4900,32.837325955708394,9,2.6485917728564883,True
4850,4950,31.285956225517445,7,3.4694223179310635,True
4900,5000,32.578764334009904,8,3.072345541751238,True
4950,5050,47.31677677082391,12,2.9430647309019924,True
5000,5100,46.28253028402993,9,4.142503364892215,True
5050,5150,6.851882975010019,2,2.4259414875050096,True
5100,5200,6.851882975010019,2,2.4259414875050096,True
5150,5250,6.851882975010019,2,2.4259414875050096,True
5200,5300,6.851882975010019,2,2.4259414875050096,True
